codeProduit;libelle;categorieProduit;fabricant;marque;modele;tags;description;typeProduit;poids;volume;uniteDeMesure;prixVente;codeBarre;conditionnementVente;perissable;soumisALaVente;reapprovisionnementAuto;actif
P001;Tampon encreur;Fournitures;Trodat;Bank-01;Bank-01;"tampon; signature";Tampon utilisé pour valider les documents;Accessoire;0.3;0.005;kg;6;656217029890;Unité;Non;Oui;Oui;Oui
P002;Compteur de billets;Matériel;Safescan;X-2000;X-2000;"billets; banque";Machine pour compter les billets;Stockable;5;0.1;kg;530;838064031322;Boîte;Non;Non;Oui;Oui
P003;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;2037;537360821960;Unité;Non;Non;Non;Oui
P004;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;135;481111677365;Unité;Non;Oui;Oui;Oui
P005;Compteur de billets;Matériel;Safescan;X-2000;X-2000;"billets; banque";Machine pour compter les billets;Stockable;5;0.1;kg;488;460946550506;Boîte;Non;Non;Oui;Oui
P006;Imprimante de reçus;Matériel;Epson;TM-T88;TM-T88V;"imprimante; reçu";Imprimante thermique pour reçus bancaires;Stockable;3;0.2;kg;247;408448221062;Unité;Non;Oui;Oui;Oui
P007;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;91;477185664316;Unité;Non;Oui;Oui;Oui
P008;Agrafeuse de billets;Fournitures;Rapid;HD-50;HD-50;"billets; agrafage";Agrafeuse pour regrouper les billets;Accessoire;1;0.02;kg;21;351003802005;Unité;Non;Oui;Oui;Oui
P009;Tirelire bancaire;Fournitures;Durable;BankSafe;BS-100;"argent; économie";Tirelire sécurisée pour les clients;Accessoire;0.8;0.03;kg;4;128907128083;Unité;Non;Oui;Oui;Oui
P010;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;2047;370316587693;Unité;Non;Non;Non;Oui
P011;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;2004;863231295679;Unité;Non;Non;Non;Oui
P012;Détecteur de faux billets;Matériel;Cassida;Pro-45;Pro-45;"sécurité; billets";Vérifie l’authenticité des billets;Stockable;2;0.05;kg;330;217643925843;Boîte;Non;Non;Oui;Oui
P013;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;91;477035273330;Unité;Non;Oui;Oui;Oui
P014;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;140;923094343453;Unité;Non;Oui;Oui;Oui
P015;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;389;826209593974;Unité;Non;Non;Oui;Oui
P016;Compteur de billets;Matériel;Safescan;X-2000;X-2000;"billets; banque";Machine pour compter les billets;Stockable;5;0.1;kg;524;416770919495;Boîte;Non;Non;Oui;Oui
P017;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;1997;388326568508;Unité;Non;Non;Non;Oui
P018;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;436;510076582097;Unité;Non;Non;Oui;Oui
P019;Coffre-fort bancaire;Matériel;Chubbsafes;Banker;Banker-200;"sécurité; coffre";Coffre-fort résistant aux effractions;Stockable;100;1.5;kg;1986;832246626044;Unité;Non;Non;Non;Oui
P020;Scanner de documents;Matériel;Fujitsu;ScanSnap;iX1600;"scanner; documents";Scanner rapide pour numérisation de documents;Stockable;4;0.15;kg;395;480693872450;Unité;Non;Non;Oui;Oui
P021;Clé USB sécurisée;Fournitures;Kingston;IronKey;IKS-1000;"données; sécurisé";Clé USB avec chiffrement matériel;Accessoire;0.05;0.002;kg;80;207538883332;Unité;Non;Oui;Oui;Oui
P022;Rouleaux de papier thermique;Fournitures;Epson;R-80;R-80;"papier; reçu";Rouleaux de papier pour imprimantes de reçus;Consommable;0.5;0.01;kg;-37;599567116499;Lot de 10;Non;Oui;Oui;Oui
